,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category
1743,수도권본부,강원도 춘천시 퇴계동 615ㅡ2,경춘선,1737.0,활용,운행선 인근부지,미사용,계획없음
1748,수도권본부,경기도 가평군 가평읍 대곡리 121ㅡ18,경춘선,211.0,활용,미사용,미사용,계획없음
1751,수도권본부,경기도 가평군 가평읍 대곡리 123ㅡ3,경춘선,486.0,활용,미사용,미사용,계획없음
1752,수도권본부,경기도 가평군 가평읍 대곡리 123ㅡ5,경춘선,30.0,활용,미사용,미사용,계획없음
1760,수도권본부,경기도 가평군 가평읍 대곡리 144ㅡ1,경춘선,1004.0,활용,미사용,미사용,계획없음
1761,수도권본부,경기도 가평군 가평읍 대곡리 144ㅡ2,경춘선,23.0,활용,미사용,미사용,계획없음
1770,수도권본부,경기도 가평군 가평읍 대곡리 155ㅡ13,경춘선,23.0,활용,미사용,미사용,계획없음
1772,수도권본부,경기도 가평군 가평읍 대곡리 157ㅡ3,경춘선,780.0,활용,미사용,미사용,계획없음
1773,수도권본부,경기도 가평군 가평읍 대곡리 157ㅡ4,경춘선,353.0,활용,미사용,미사용,계획없음
1782,수도권본부,경기도 가평군 가평읍 대곡리 163ㅡ3,경춘선,1186.0,활용,미사용,미사용,계획없음
1796,수도권본부,경기도 가평군 가평읍 대곡리 250ㅡ1,경춘선,122.0,활용,미사용,미사용,계획없음
1799,수도권본부,경기도 가평군 가평읍 대곡리 408ㅡ3,경춘선,26.0,활용,미사용,미사용,계획없음
1800,수도권본부,경기도 가평군 가평읍 대곡리 409ㅡ1,경춘선,40.0,활용,미사용,미사용,계획없음
1803,수도권본부,경기도 가평군 가평읍 대곡리 409ㅡ8,경춘선,153.0,활용,미사용,미사용,계획없음
1805,수도권본부,경기도 가평군 가평읍 대곡리 420ㅡ1,경춘선,1504.0,활용,미사용,미사용,계획없음
1806,수도권본부,경기도 가평군 가평읍 대곡리 638ㅡ1,경춘선,152.0,활용,미사용,미사용,계획없음
1808,수도권본부,경기도 가평군 가평읍 대곡리 645ㅡ1,경춘선,242.0,활용,미사용,미사용,계획없음
1809,수도권본부,경기도 가평군 가평읍 대곡리 646ㅡ1,경춘선,123.0,활용,미사용,미사용,계획없음
1813,수도권본부,경기도 가평군 가평읍 대곡리 676ㅡ1,경춘선,71.0,활용,미사용,미사용,계획없음
1815,수도권본부,경기도 가평군 가평읍 대곡리 677ㅡ3,경춘선,265.0,활용,미사용,미사용,계획없음
1816,수도권본부,경기도 가평군 가평읍 대곡리 681ㅡ1,경춘선,440.0,활용,미사용,미사용,계획없음
1817,수도권본부,경기도 가평군 가평읍 대곡리 686ㅡ1,경춘선,42.0,활용,미사용,미사용,계획없음
1819,수도권본부,경기도 가평군 가평읍 대곡리 686ㅡ4,경춘선,108.0,활용,미사용,미사용,계획없음
1820,수도권본부,경기도 가평군 가평읍 대곡리 687ㅡ1,경춘선,213.0,활용,미사용,미사용,계획없음
1875,수도권본부,경기도 가평군 가평읍 읍내리 304ㅡ2,경춘선,10512.0,활용,미사용,미사용,계획없음
1877,수도권본부,경기도 가평군 가평읍 읍내리 340ㅡ1,경춘선,4651.0,활용,미사용,미사용,계획없음
1878,수도권본부,경기도 가평군 가평읍 읍내리 350ㅡ2,경춘선,1476.0,활용,미사용,미사용,계획없음
1880,수도권본부,경기도 가평군 가평읍 읍내리 389ㅡ1,경춘선,297.0,활용,미사용,미사용,계획없음
1881,수도권본부,경기도 가평군 가평읍 읍내리 390ㅡ4,경춘선,330.0,활용,미사용,미사용,계획없음
1882,수도권본부,경기도 가평군 가평읍 읍내리 391ㅡ3,경춘선,527.0,활용,미사용,미사용,계획없음
1883,수도권본부,경기도 가평군 가평읍 읍내리 393ㅡ1,경춘선,618.0,활용,미사용,미사용,계획없음
1884,수도권본부,경기도 가평군 가평읍 읍내리 395ㅡ1,경춘선,3120.0,활용,미사용,미사용,계획없음
2303,수도권본부,경기도 남양주시 삼패동 258ㅡ4,중앙선,109.0,활용,미사용,미사용,계획없음
2304,수도권본부,경기도 남양주시 삼패동 258ㅡ8,중앙선,23.0,활용,미사용,미사용,계획없음
2305,수도권본부,경기도 남양주시 삼패동 258ㅡ9,중앙선,119.0,활용,미사용,미사용,계획없음
2306,수도권본부,경기도 남양주시 삼패동 259ㅡ1,중앙선,17.0,활용,미사용,미사용,계획없음
2307,수도권본부,경기도 남양주시 삼패동 259ㅡ2,중앙선,3959.0,활용,미사용,미사용,계획없음
2308,수도권본부,경기도 남양주시 삼패동 259ㅡ5,중앙선,33.0,활용,미사용,미사용,계획없음
2309,수도권본부,경기도 남양주시 삼패동 260ㅡ1,중앙선,66.0,활용,미사용,미사용,계획없음
2310,수도권본부,경기도 남양주시 삼패동 260ㅡ4,중앙선,26.0,활용,미사용,미사용,계획없음
