id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility,result,pca_x,pca_y
1581,수도권본부,강원도 춘천시 신동면 증리 859-3,경춘선,442,활용,운행선 인근부지,미사용,계획없음,34.0, ,49600.0,가능,3.6,729821.0,140890.0,0,0.047418090586632454,0.7704817807530593
1584,수도권본부,강원도 춘천시 신동면 증리 860-6,경춘선,106,활용,미사용,미사용,계획없음,8.0, ,101100.0,가능,3.6,171733.0,31334.0,0,-1.3861268606561323,1.6493495508507523
1588,수도권본부,강원도 춘천시 신동면 증리 942-4,경춘선,321,활용,운행선 인근부지,미사용,계획없음,24.0, ,42900.0,가능,3.6,515174.0,93998.0,0,-0.4947233085371393,0.6714449486154223
1596,수도권본부,강원도 춘천시 신동면 증리 산 7-2,경춘선,992,활용,미사용,미사용,계획없음,76.0, ,1630.0,가능,3.6,1631368.0,314932.0,0,2.338301650576652,-0.07029335130425474
1737,수도권본부,강원도 춘천시 퇴계동 381-35,경춘선,49,활용,운행선 인근부지,미사용,계획없음,3.0, ,100100.0,가능,3.63,64896.0,11840.0,0,-1.6348002570748523,1.7174223753407791
1743,수도권본부,강원도 춘천시 퇴계동 615-2,경춘선,1737,활용,운행선 인근부지,미사용,계획없음,133.0, ,115500.0,가능,3.63,2877038.0,544252.0,-1,5.330451694681989,1.8126350087719354
1752,수도권본부,경기도 가평군 가평읍 대곡리 123-5,경춘선,30,활용,미사용,미사용,계획없음,2.0, ,33000.0,가능,3.56,42509.0,7756.0,0,-1.6684011025568914,0.4307503637107472
1761,수도권본부,경기도 가평군 가평읍 대곡리 144-2,경춘선,23,활용,미사용,미사용,계획없음,1.0, ,33000.0,가능,3.56,21255.0,3878.0,0,-1.7150648651738263,0.4315793290670893
1770,수도권본부,경기도 가평군 가평읍 대곡리 155-13,경춘선,23,활용,미사용,미사용,계획없음,1.0, ,33000.0,가능,3.56,21255.0,3878.0,0,-1.7150648651738263,0.4315793290670893
1772,수도권본부,경기도 가평군 가평읍 대곡리 157-3,경춘선,780,활용,미사용,미사용,계획없음,60.0, ,111600.0,가능,3.56,1275219.0,246178.0,-1,1.3794779480934687,1.6535687891043178
1773,수도권본부,경기도 가평군 가평읍 대곡리 157-4,경춘선,353,활용,미사용,미사용,계획없음,27.0, ,33000.0,가능,3.56,573857.0,104705.0,0,-0.3528721657665341,0.39996986043032984
1800,수도권본부,경기도 가평군 가평읍 대곡리 409-1,경춘선,40,활용,미사용,미사용,계획없음,3.0, ,33000.0,가능,3.56,63757.0,11633.0,0,-1.618725470592761,0.42971741332973395
1805,수도권본부,경기도 가평군 가평읍 대곡리 420-1,경춘선,1504,활용,미사용,미사용,계획없음,115.0, ,33000.0,가능,3.56,2444170.0,466725.0,0,4.361205796391497,0.29197479713847707
1815,수도권본부,경기도 가평군 가평읍 대곡리 677-3,경춘선,265,활용,미사용,미사용,계획없음,20.0, ,33000.0,가능,3.56,425075.0,77558.0,0,-0.7187719677646299,0.408422468344223
1816,수도권본부,경기도 가평군 가평읍 대곡리 681-1,경춘선,440,활용,미사용,미사용,계획없음,33.0, ,33000.0,가능,3.56,701371.0,135398.0,0,-0.002821337674858521,0.39240565349689366
1817,수도권본부,경기도 가평군 가평읍 대곡리 686-1,경춘선,42,활용,미사용,미사용,계획없음,3.0, ,33000.0,가능,3.56,63757.0,11633.0,0,-1.6167127748017278,0.42958151765082087
1820,수도권본부,경기도 가평군 가평읍 대곡리 687-1,경춘선,213,활용,미사용,미사용,계획없음,16.0, ,33000.0,가능,3.56,340058.0,62046.0,0,-0.9295800070172393,0.4133690648230479
1878,수도권본부,경기도 가평군 가평읍 읍내리 350-2,경춘선,1476,활용,미사용,미사용,계획없음,113.0, ,28700.0,가능,3.56,2401683.0,459170.0,0,4.257201208578644,0.2238371352863918
1880,수도권본부,경기도 가평군 가평읍 읍내리 389-1,경춘선,297,활용,미사용,미사용,계획없음,22.0, ,28700.0,가능,3.56,467579.0,85314.0,0,-0.6046054102523635,0.33478163485969353
1881,수도권본부,경기도 가평군 가평읍 읍내리 390-4,경춘선,330,활용,미사용,미사용,계획없음,25.0, ,28700.0,가능,3.56,531339.0,96947.0,0,-0.45254256482482147,0.3314792755848834
1882,수도권본부,경기도 가평군 가평읍 읍내리 391-3,경춘선,527,활용,미사용,미사용,계획없음,40.0, ,28700.0,가능,3.56,850157.0,164121.0,0,0.37006361012069244,0.31336045831491677
1883,수도권본부,경기도 가평군 가평읍 읍내리 393-1,경춘선,618,활용,미사용,미사용,계획없음,47.0, ,28700.0,가능,3.56,998922.0,192839.0,0,0.7442165041048078,0.30480267137272765
2304,수도권본부,경기도 남양주시 삼패동 258-8,중앙선,23,활용,미사용,미사용,계획없음,1.0, ,218900.0,가능,3.49,20827.0,3800.0,-1,-1.849516062173116,3.306588798428367
2312,수도권본부,경기도 남양주시 삼패동 278-10,중앙선,215,활용,미사용,미사용,계획없음,16.0, ,222500.0,가능,3.49,333137.0,60783.0,-1,-1.0724090007141391,3.3473237860487313
2314,수도권본부,경기도 남양주시 삼패동 279-5,중앙선,717,활용,미사용,미사용,계획없음,55.0, ,218900.0,가능,3.49,1145165.0,221071.0,-1,0.9996256103791311,3.2405417392792604
2315,수도권본부,경기도 남양주시 삼패동 281-2,중앙선,417,활용,미사용,미사용,계획없음,32.0, ,136700.0,가능,3.49,666274.0,128622.0,0,-0.16589243014273627,1.9163142196478826
2316,수도권본부,경기도 남양주시 삼패동 281-3,중앙선,304,활용,미사용,미사용,계획없음,23.0, ,222900.0,가능,3.49,478885.0,87376.0,-1,-0.7095457448731334,3.3453109388990745
2319,수도권본부,경기도 남양주시 삼패동 290-22,중앙선,112,활용,미사용,미사용,계획없음,8.0, ,126300.0,가능,3.49,166571.0,30392.0,0,-1.4276723203199433,1.7741896955524596
2322,수도권본부,경기도 남양주시 삼패동 290-9,중앙선,26,활용,미사용,미사용,계획없음,2.0, ,126300.0,가능,3.49,41633.0,7596.0,0,-1.74870518119768,1.7822167626003476
2324,수도권본부,경기도 남양주시 삼패동 292-2,중앙선,69,활용,미사용,미사용,계획없음,5.0, ,126300.0,가능,3.49,104109.0,18995.0,0,-1.5881809371269844,1.7782033836762043
2325,수도권본부,경기도 남양주시 삼패동 292-5,중앙선,377,활용,미사용,미사용,계획없음,29.0, ,126300.0,가능,3.49,603805.0,110169.0,0,-0.34034720407828084,1.7485398750160634
2326,수도권본부,경기도 남양주시 삼패동 292-7,중앙선,79,활용,미사용,미사용,계획없음,6.0, ,126300.0,가능,3.49,124928.0,22794.0,0,-1.5390399712259981,1.7771599064501025
2327,수도권본부,경기도 남양주시 삼패동 294-2,중앙선,707,활용,미사용,미사용,계획없음,54.0, ,119600.0,가능,3.49,1124334.0,217050.0,-1,1.0127180406409864,1.6075136259290972
2328,수도권본부,경기도 남양주시 삼패동 294-7,중앙선,33,활용,미사용,미사용,계획없음,2.0, ,126300.0,가능,3.49,41633.0,7596.0,0,-1.741660745929064,1.7817411277241517
2331,수도권본부,경기도 남양주시 삼패동 295-6,중앙선,195,활용,미사용,미사용,계획없음,15.0, ,126300.0,가능,3.49,312313.0,56984.0,0,-1.0706006213235781,1.7660020879529958
2332,수도권본부,경기도 남양주시 삼패동 297-6,중앙선,446,활용,미사용,미사용,계획없음,34.0, ,126300.0,가능,3.49,707912.0,136660.0,0,-0.05048806353180432,1.7425034750899153
2334,수도권본부,경기도 남양주시 삼패동 299-5,중앙선,317,활용,미사용,미사용,계획없음,24.0, ,126300.0,가능,3.49,499706.0,91175.0,0,-0.5961147311237573,1.754436750112449
2338,수도권본부,경기도 남양주시 삼패동 304-2,중앙선,383,활용,미사용,미사용,계획없음,29.0, ,119600.0,가능,3.49,603805.0,110169.0,0,-0.33005956016930976,1.6378785628102217
2340,수도권본부,경기도 남양주시 삼패동 305-12,중앙선,466,활용,미사용,미사용,계획없음,35.0, ,119600.0,가능,3.49,728735.0,140680.0,0,0.013706322207709759,1.6305408575873062
2341,수도권본부,경기도 남양주시 삼패동 305-7,중앙선,248,활용,미사용,미사용,계획없음,19.0, ,119600.0,가능,3.49,395601.0,72181.0,0,-0.8566936684478517,1.6506914520338472
2342,수도권본부,경기도 남양주시 삼패동 305-8,중앙선,50,활용,미사용,미사용,계획없음,3.0, ,126300.0,가능,3.49,62464.0,11397.0,0,-1.6854609960807536,1.7802222986344585
2343,수도권본부,경기도 남양주시 삼패동 312-2,중앙선,314,활용,미사용,미사용,계획없음,24.0, ,119600.0,가능,3.49,499706.0,91175.0,0,-0.5948842182744358,1.6443869684617158
2344,수도권본부,경기도 남양주시 삼패동 333-12,중앙선,169,활용,미사용,미사용,계획없음,13.0, ,119600.0,가능,3.49,270681.0,49388.0,0,-1.1706605710389104,1.658243308724445
2346,수도권본부,경기도 남양주시 삼패동 333-2,중앙선,274,활용,미사용,미사용,계획없음,21.0, ,119600.0,가능,3.49,437237.0,79777.0,0,-0.7523816050267542,1.648196658467291
2351,수도권본부,경기도 남양주시 삼패동 456-11,중앙선,549,활용,미사용,미사용,계획없음,42.0, ,127000.0,가능,3.49,874489.0,168818.0,0,0.3712536043178763,1.744223381191205
2352,수도권본부,경기도 남양주시 삼패동 499-2,중앙선,172,활용,미사용,미사용,계획없음,13.0, ,218900.0,가능,3.49,270681.0,49388.0,-1,-1.2306237607869934,3.2920969248018817
2355,수도권본부,경기도 남양주시 삼패동 산 42-3,중앙선,33,활용,미사용,미사용,계획없음,2.0, ,15500.0,가능,3.49,41633.0,7596.0,0,-1.671384497544801,-0.04155762880369514
2360,수도권본부,경기도 남양주시 와부읍 도곡리 1057-9,중앙선,128,활용,미사용,미사용,계획없음,9.0, ,144500.0,가능,3.5,188061.0,34313.0,0,-1.3809137326978533,2.0985508786284384
2363,수도권본부,경기도 남양주시 와부읍 도곡리 1096-6,중앙선,714,활용,미사용,미사용,계획없음,54.0, ,50600.0,가능,3.5,1128406.0,217836.0,0,1.0710407252599297,0.4979939613729025
2364,수도권본부,경기도 남양주시 와부읍 도곡리 1100-1,중앙선,33,활용,미사용,미사용,계획없음,2.0, ,144500.0,가능,3.5,41791.0,7625.0,0,-1.7507196569796726,2.107540904184349
2366,수도권본부,경기도 남양주시 와부읍 도곡리 474-2,중앙선,449,활용,미사용,미사용,계획없음,34.0, ,61800.0,가능,3.5,710478.0,137156.0,0,-0.0009759142316985012,0.707268571220505
2368,수도권본부,경기도 남양주시 와부읍 도곡리 480-5,중앙선,69,활용,미사용,미사용,계획없음,5.0, ,53400.0,가능,3.5,104482.0,19063.0,0,-1.5391909118553229,0.6048882431049104
2370,수도권본부,경기도 남양주시 와부읍 도곡리 485-10,중앙선,411,활용,미사용,미사용,계획없음,31.0, ,66500.0,가능,3.5,647781.0,125052.0,0,-0.16194443674059844,0.7882370361095374
2372,수도권본부,경기도 남양주시 와부읍 도곡리 491-1,중앙선,102,활용,미사용,미사용,계획없음,7.0, ,53400.0,가능,3.5,146264.0,26687.0,0,-1.4276475960981134,0.6019214887816345
