area,capacity,realty_price,insolation,generation_quantity,economic_feasibility,result
13,1.0,5110.0,3.15,18794.0,3429.0,0
747,57.0,5110.0,3.15,1071030.0,206760.0,2
152,11.0,5110.0,3.15,206684.0,37711.0,0
46,3.0,5110.0,3.15,56371.0,10285.0,0
56,4.0,6170.0,3.15,75158.0,13713.0,0
169,13.0,6260.0,3.15,244265.0,44568.0,0
23,1.0,6330.0,3.15,18794.0,3429.0,0
60,4.0,6170.0,3.15,75158.0,13713.0,0
93,7.0,5110.0,3.15,131530.0,23998.0,0
50,3.0,5110.0,3.15,56371.0,10285.0,0
215,16.0,7450.0,3.15,300646.0,54855.0,0
165,12.0,5110.0,3.15,225482.0,41141.0,0
99,7.0,5110.0,3.15,131530.0,23998.0,0
17,1.0,5110.0,3.15,18794.0,3429.0,0
539,41.0,5110.0,3.15,770389.0,148722.0,0
36,2.0,5110.0,3.15,37571.0,6855.0,0
1266,97.0,12600.0,3.15,1822634.0,351855.0,2
1341,103.0,5110.0,3.15,1935379.0,372720.0,2
289,22.0,6170.0,3.15,413382.0,75425.0,0
91,7.0,6170.0,3.15,131530.0,23998.0,0
283,21.0,2670.0,3.15,394587.0,71996.0,0
73,5.0,5110.0,3.15,93946.0,17141.0,0
137,10.0,5110.0,3.15,187902.0,34284.0,0
71,5.0,10600.0,3.15,93946.0,17141.0,0
496,38.0,5110.0,3.15,714020.0,137840.0,0
397,30.0,5110.0,3.15,563701.0,108821.0,0
99,7.0,5110.0,3.15,131530.0,23998.0,0
1190,91.0,5110.0,3.15,1709887.0,330090.0,2
893,68.0,5110.0,3.15,1277721.0,246661.0,2
2238,172.0,6100.0,3.15,3231879.0,602857.0,2
863,66.0,2540.0,3.15,1240139.0,239406.0,2
840,64.0,2400.0,3.15,1202563.0,232152.0,2
251,19.0,2560.0,3.15,357013.0,65140.0,0
57,4.0,2670.0,3.15,75158.0,13713.0,0
295,22.0,2670.0,3.15,413382.0,75425.0,0
99,7.0,346.0,3.15,131530.0,23998.0,0
46,3.0,346.0,3.15,56371.0,10285.0,0
496,38.0,346.0,3.15,714020.0,137840.0,0
99,7.0,1620.0,3.15,131530.0,23998.0,0
1785,137.0,346.0,3.15,2574234.0,485972.0,2
198,15.0,6350.0,3.15,281850.0,51426.0,0
129,9.0,6930.0,3.15,169113.0,30856.0,0
674,51.0,6450.0,3.15,958297.0,184997.0,0
943,72.0,2430.0,3.15,1352874.0,261169.0,2
