id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility
1816,수도권본부,경기도 가평군 가평읍 대곡리 681-1,경춘선,440,활용,미사용,미사용,계획없음,33.0, ,33000.0,가능,3.56,701371.0,135398.0
1817,수도권본부,경기도 가평군 가평읍 대곡리 686-1,경춘선,42,활용,미사용,미사용,계획없음,3.0, ,33000.0,가능,3.56,63757.0,11633.0
1820,수도권본부,경기도 가평군 가평읍 대곡리 687-1,경춘선,213,활용,미사용,미사용,계획없음,16.0, ,33000.0,가능,3.56,340058.0,62046.0
1875,수도권본부,경기도 가평군 가평읍 읍내리 304-2,경춘선,10512,활용,미사용,미사용,계획없음,808.0, ,28700.0,가능,3.56,17173022.0,3080856.0
1877,수도권본부,경기도 가평군 가평읍 읍내리 340-1,경춘선,4651,활용,미사용,미사용,계획없음,357.0, ,28700.0,가능,3.56,7587590.0,1380047.0
1878,수도권본부,경기도 가평군 가평읍 읍내리 350-2,경춘선,1476,활용,미사용,미사용,계획없음,113.0, ,28700.0,가능,3.56,2401683.0,459170.0
1880,수도권본부,경기도 가평군 가평읍 읍내리 389-1,경춘선,297,활용,미사용,미사용,계획없음,22.0, ,28700.0,가능,3.56,467579.0,85314.0
1881,수도권본부,경기도 가평군 가평읍 읍내리 390-4,경춘선,330,활용,미사용,미사용,계획없음,25.0, ,28700.0,가능,3.56,531339.0,96947.0
1882,수도권본부,경기도 가평군 가평읍 읍내리 391-3,경춘선,527,활용,미사용,미사용,계획없음,40.0, ,28700.0,가능,3.56,850157.0,164121.0
1883,수도권본부,경기도 가평군 가평읍 읍내리 393-1,경춘선,618,활용,미사용,미사용,계획없음,47.0, ,28700.0,가능,3.56,998922.0,192839.0
1884,수도권본부,경기도 가평군 가평읍 읍내리 395-1,경춘선,3120,활용,미사용,미사용,계획없음,240.0, ,28700.0,가능,3.56,5100896.0,938441.0
2303,수도권본부,경기도 남양주시 삼패동 258-4,중앙선,109,활용,미사용,미사용,계획없음,8.0, ,234600.0,가능,3.49,166571.0,30392.0
2304,수도권본부,경기도 남양주시 삼패동 258-8,중앙선,23,활용,미사용,미사용,계획없음,1.0, ,218900.0,가능,3.49,20827.0,3800.0
2305,수도권본부,경기도 남양주시 삼패동 258-9,중앙선,119,활용,미사용,미사용,계획없음,9.0, ,233400.0,가능,3.49,187392.0,34191.0
2306,수도권본부,경기도 남양주시 삼패동 259-1,중앙선,17,활용,미사용,미사용,계획없음,1.0, ,273900.0,가능,3.49,20827.0,3800.0
2307,수도권본부,경기도 남양주시 삼패동 259-2,중앙선,3959,활용,미사용,미사용,계획없음,304.0, ,147500.0,가능,3.49,6329599.0,1155658.0
2308,수도권본부,경기도 남양주시 삼패동 259-5,중앙선,33,활용,미사용,미사용,계획없음,2.0, ,234600.0,가능,3.49,41633.0,7596.0
2309,수도권본부,경기도 남양주시 삼패동 260-1,중앙선,66,활용,미사용,미사용,계획없음,5.0, ,287700.0,가능,3.49,104109.0,18995.0
2310,수도권본부,경기도 남양주시 삼패동 260-4,중앙선,26,활용,미사용,미사용,계획없음,2.0, ,234600.0,가능,3.49,41633.0,7596.0
2312,수도권본부,경기도 남양주시 삼패동 278-10,중앙선,215,활용,미사용,미사용,계획없음,16.0, ,222500.0,가능,3.49,333137.0,60783.0
2313,수도권본부,경기도 남양주시 삼패동 278-12,중앙선,30,활용,미사용,미사용,계획없음,2.0, ,226700.0,가능,3.49,41633.0,7596.0
2314,수도권본부,경기도 남양주시 삼패동 279-5,중앙선,717,활용,미사용,미사용,계획없음,55.0, ,218900.0,가능,3.49,1145165.0,221071.0
2315,수도권본부,경기도 남양주시 삼패동 281-2,중앙선,417,활용,미사용,미사용,계획없음,32.0, ,136700.0,가능,3.49,666274.0,128622.0
2316,수도권본부,경기도 남양주시 삼패동 281-3,중앙선,304,활용,미사용,미사용,계획없음,23.0, ,222900.0,가능,3.49,478885.0,87376.0
2317,수도권본부,경기도 남양주시 삼패동 290-10,중앙선,17,활용,미사용,미사용,계획없음,1.0, ,1270000.0,가능,3.49,20827.0,3800.0
2319,수도권본부,경기도 남양주시 삼패동 290-22,중앙선,112,활용,미사용,미사용,계획없음,8.0, ,126300.0,가능,3.49,166571.0,30392.0
2320,수도권본부,경기도 남양주시 삼패동 290-23,중앙선,23,활용,미사용,미사용,계획없음,1.0, ,943700.0,가능,3.49,20827.0,3800.0
2321,수도권본부,경기도 남양주시 삼패동 290-24,중앙선,56,활용,미사용,미사용,계획없음,4.0, ,835300.0,가능,3.49,83277.0,15194.0
2322,수도권본부,경기도 남양주시 삼패동 290-9,중앙선,26,활용,미사용,미사용,계획없음,2.0, ,126300.0,가능,3.49,41633.0,7596.0
2323,수도권본부,경기도 남양주시 삼패동 291-2,중앙선,893,활용,미사용,미사용,계획없음,68.0, ,1097000.0,가능,3.49,1415828.0,273322.0
2324,수도권본부,경기도 남양주시 삼패동 292-2,중앙선,69,활용,미사용,미사용,계획없음,5.0, ,126300.0,가능,3.49,104109.0,18995.0
2325,수도권본부,경기도 남양주시 삼패동 292-5,중앙선,377,활용,미사용,미사용,계획없음,29.0, ,126300.0,가능,3.49,603805.0,110169.0
2326,수도권본부,경기도 남양주시 삼패동 292-7,중앙선,79,활용,미사용,미사용,계획없음,6.0, ,126300.0,가능,3.49,124928.0,22794.0
2327,수도권본부,경기도 남양주시 삼패동 294-2,중앙선,707,활용,미사용,미사용,계획없음,54.0, ,119600.0,가능,3.49,1124334.0,217050.0
2328,수도권본부,경기도 남양주시 삼패동 294-7,중앙선,33,활용,미사용,미사용,계획없음,2.0, ,126300.0,가능,3.49,41633.0,7596.0
2331,수도권본부,경기도 남양주시 삼패동 295-6,중앙선,195,활용,미사용,미사용,계획없음,15.0, ,126300.0,가능,3.49,312313.0,56984.0
2332,수도권본부,경기도 남양주시 삼패동 297-6,중앙선,446,활용,미사용,미사용,계획없음,34.0, ,126300.0,가능,3.49,707912.0,136660.0
