,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항
19180,강원본부,충청북도 단양군 매포읍 영천리 314ㅡ3,중앙선,3282.0,기타,미사용,계획 없음
19181,강원본부,충청북도 단양군 매포읍 영천리 433ㅡ3,중앙선,2936.0,기타,미사용,계획 없음
19182,강원본부,충청북도 단양군 매포읍 영천리 435ㅡ1,중앙선,674.0,기타,미사용,계획 없음
19183,강원본부,충청북도 단양군 매포읍 영천리 442ㅡ2,중앙선,943.0,기타,미사용,계획 없음
19184,강원본부,충청북도 단양군 매포읍 영천리 444ㅡ2,중앙선,145.0,기타,미사용,계획 없음
19185,강원본부,충청북도 단양군 매포읍 영천리 446ㅡ3,중앙선,7.0,기타,미사용,계획 없음
19186,강원본부,충청북도 단양군 매포읍 영천리 446ㅡ5,중앙선,1452.0,기타,미사용,계획 없음
19187,강원본부,충청북도 단양군 매포읍 영천리 464ㅡ1,중앙선,488.0,기타,미사용,계획 없음
19188,강원본부,충청북도 단양군 매포읍 영천리 464ㅡ3,중앙선,47.0,기타,미사용,계획 없음
19189,강원본부,충청북도 단양군 매포읍 영천리 산 52ㅡ1,중앙선,198.0,기타,미사용,계획 없음
19190,강원본부,충청북도 단양군 매포읍 영천리 산 52ㅡ3,중앙선,3174.0,기타,미사용,계획 없음
19191,강원본부,충청북도 단양군 매포읍 영천리 산 52ㅡ4,중앙선,2777.0,기타,미사용,계획 없음
19192,강원본부,충청북도 단양군 매포읍 영천리 산 52ㅡ5,중앙선,2281.0,기타,미사용,계획 없음
19193,강원본부,충청북도 단양군 매포읍 영천리 산 54ㅡ2,중앙선,5653.0,기타,미사용,계획 없음
19195,강원본부,충청북도 단양군 매포읍 하시리 137ㅡ2,중앙선,559.0,기타,미사용,계획 없음
19196,강원본부,충청북도 단양군 매포읍 하시리 233ㅡ1,중앙선,678.0,기타,미사용,계획 없음
19197,강원본부,충청북도 단양군 매포읍 하시리 산 2ㅡ2,중앙선,1587.0,기타,미사용,계획 없음
19198,강원본부,충청북도 단양군 매포읍 하시리 산 3ㅡ2,중앙선,893.0,기타,미사용,계획 없음
19199,강원본부,충청북도 단양군 매포읍 하시리 산 4ㅡ2,중앙선,694.0,기타,미사용,계획 없음
19200,강원본부,충청북도 단양군 매포읍 하시리 산 59ㅡ2,중앙선,694.0,기타,미사용,계획 없음
19203,강원본부,충청북도 단양군 매포읍 하시리 산 5ㅡ2,중앙선,1091.0,기타,미사용,계획 없음
19205,강원본부,충청북도 단양군 매포읍 하시리 산 7ㅡ2,중앙선,1884.0,기타,미사용,계획 없음
19206,강원본부,경상북도 영주시 문수면 승문리 1255,중앙선,2838.0,활용,미사용,계획 없음
19207,강원본부,경상북도 영주시 문수면 승문리 1265ㅡ2,중앙선,13.0,활용,미사용,계획 없음
19208,강원본부,경상북도 영주시 문수면 승문리 1269ㅡ1,중앙선,205.0,활용,미사용,계획 없음
19209,강원본부,경상북도 영주시 문수면 승문리 1275ㅡ1,중앙선,23.0,활용,미사용,계획 없음
19210,강원본부,경상북도 영주시 문수면 승문리 1285ㅡ1,중앙선,7.0,활용,미사용,계획 없음
19211,강원본부,경상북도 영주시 문수면 승문리 1286ㅡ1,중앙선,1570.0,활용,미사용,계획 없음
19212,강원본부,경상북도 영주시 문수면 승문리 1287ㅡ2,중앙선,1528.0,활용,미사용,계획 없음
19213,강원본부,경상북도 영주시 문수면 승문리 1291ㅡ1,중앙선,17.0,활용,미사용,계획 없음
19214,강원본부,경상북도 영주시 문수면 승문리 1293ㅡ1,중앙선,575.0,활용,미사용,계획 없음
19215,강원본부,경상북도 영주시 문수면 승문리 1294ㅡ2,중앙선,23.0,활용,미사용,계획 없음
19216,강원본부,경상북도 영주시 문수면 승문리 1294ㅡ3,중앙선,413.0,활용,미사용,계획 없음
19218,강원본부,경상북도 영주시 문수면 승문리 1329ㅡ3,중앙선,50.0,활용,미사용,계획 없음
19219,강원본부,경상북도 영주시 문수면 승문리 1330ㅡ4,중앙선,46.0,활용,미사용,계획 없음
19220,강원본부,경상북도 영주시 문수면 승문리 1331ㅡ3,중앙선,20.0,활용,미사용,계획 없음
19221,강원본부,경상북도 영주시 문수면 승문리 1333ㅡ1,중앙선,930.0,활용,미사용,계획 없음
19222,강원본부,경상북도 영주시 문수면 승문리 1334,중앙선,69.0,활용,미사용,계획 없음
19223,강원본부,경상북도 영주시 문수면 승문리 1335ㅡ1,중앙선,228.0,활용,미사용,계획 없음
19224,강원본부,경상북도 영주시 문수면 승문리 1337ㅡ2,중앙선,7.0,활용,미사용,계획 없음
19225,강원본부,경상북도 영주시 문수면 승문리 1343,중앙선,2374.0,활용,미사용,계획 없음
19226,강원본부,경상북도 영주시 문수면 승문리 1344ㅡ2,중앙선,122.0,활용,미사용,계획 없음
19228,강원본부,경상북도 영주시 문수면 승문리 1387ㅡ3,중앙선,56.0,활용,미사용,계획 없음
19230,강원본부,경상북도 영주시 문수면 승문리 1400ㅡ1,중앙선,2598.0,활용,미사용,계획 없음
19231,강원본부,경상북도 영주시 문수면 승문리 1401,중앙선,136.0,활용,미사용,계획 없음
19232,강원본부,경상북도 영주시 문수면 승문리 1403ㅡ4,중앙선,36.0,활용,미사용,계획 없음
19233,강원본부,경상북도 영주시 문수면 승문리 1698ㅡ1,중앙선,155.0,활용,미사용,계획 없음
19234,강원본부,경상북도 영주시 문수면 승문리 1698ㅡ2,중앙선,423.0,활용,미사용,계획 없음
19237,강원본부,경상북도 영주시 문수면 승문리 1779ㅡ1,중앙선,720.0,활용,미사용,계획 없음
19238,강원본부,경상북도 영주시 문수면 승문리 1779ㅡ4,중앙선,675.0,활용,미사용,계획 없음
19239,강원본부,경상북도 영주시 문수면 승문리 1780ㅡ1,중앙선,456.0,활용,미사용,계획 없음
19241,강원본부,경상북도 영주시 문수면 승문리 1807ㅡ1,중앙선,221.0,활용,미사용,계획 없음
19242,강원본부,경상북도 영주시 문수면 승문리 1808ㅡ1,중앙선,337.0,활용,미사용,계획 없음
19243,강원본부,경상북도 영주시 문수면 승문리 1809ㅡ1,중앙선,416.0,활용,미사용,계획 없음
19244,강원본부,경상북도 영주시 문수면 승문리 1810,중앙선,53.0,활용,미사용,계획 없음
